#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-De-RX100%-1hr.csc.log	1s-20m-20f-De-RX100%-1hr.csc.log
1	55.555	0.978
2	44.444	0.912
3	48.598	0.892
4	53.691	0.877
5	55.000	0.855
6	57.200	0.837
7	58.249	0.825
8	58.908	0.815
9	58.928	0.813
10	60.454	0.806
11	61.758	0.798
12	61.726	0.790
13	62.222	0.783
14	62.460	0.779
15	62.352	0.776
16	62.653	0.768
17	62.435	0.765
18	63.138	0.763
19	63.605	0.757
20	64.239	0.751
21	64.432	0.747
22	64.208	0.743
23	64.346	0.741
24	64.478	0.741
25	64.224	0.740
26	64.510	0.738
27	64.319	0.736
28	64.493	0.737
29	64.032	0.733
30	64.357	0.731
31	64.632	0.730
32	64.996	0.727
33	65.029	0.724
34	64.846	0.724
35	64.939	0.722
36	65.127	0.721
37	65.204	0.720
38	65.322	0.718
39	65.248	0.717
40	65.585	0.716
41	65.714	0.716
42	65.704	0.714
43	65.645	0.711
44	65.557	0.710
45	65.660	0.710
46	65.591	0.711
47	65.489	0.711
48	65.533	0.710
49	65.341	0.710
50	65.508	0.710
51	65.891	0.711
52	65.974	0.710
53	66.147	0.708
54	66.078	0.707
55	66.076	0.707
56	66.012	0.708
57	66.023	0.708
58	66.108	0.708
59	65.998	0.707
60	66.091	0.708
