#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-Dy-RX100%-1hr.csc.log	1s-20m-20f-Dy-RX100%-1hr.csc.log
1	80.000	0.988
2	52.000	0.924
3	52.688	0.906
4	59.259	0.884
5	61.111	0.864
6	61.883	0.850
7	63.568	0.836
8	65.286	0.824
9	64.705	0.814
10	65.750	0.804
11	67.114	0.793
12	67.008	0.788
13	67.354	0.784
14	67.534	0.779
15	67.258	0.773
16	67.319	0.771
17	66.949	0.769
18	67.154	0.764
19	66.918	0.761
20	67.619	0.755
21	68.253	0.752
22	68.810	0.747
23	69.167	0.744
24	69.299	0.740
25	69.716	0.735
26	69.927	0.731
27	69.816	0.729
28	69.974	0.726
29	69.983	0.720
30	70.000	0.718
31	70.361	0.718
32	70.545	0.714
33	70.163	0.712
34	70.260	0.710
35	70.400	0.706
36	70.355	0.704
37	70.465	0.704
38	70.563	0.703
39	70.560	0.702
40	70.581	0.700
41	70.838	0.697
42	70.923	0.695
43	70.804	0.694
44	70.848	0.694
45	70.721	0.695
46	70.680	0.697
47	70.469	0.696
48	70.520	0.696
49	70.335	0.697
50	70.370	0.698
51	70.508	0.698
52	70.404	0.697
53	70.349	0.697
54	70.444	0.698
55	70.420	0.699
56	70.379	0.699
57	70.311	0.699
58	70.206	0.700
59	70.113	0.700
60	70.038	0.700
